Timestamp,Univerisity Roll Number ,Semester ,Branch,Previous Semester SGPA,Previous Semester Overall Attendance Percentage ,Average Study Hours Per Day (at home),Do you make notes?,When do you seriously start studying for final exam?,Average sleep (sleep per day),Social Media Usage ,Exercise Frequency 
06/08/2026 13:02:24,2329392,7,,7.57,75,less than 1 hour,No,1 week before exams,6 hours,3 hours,2 hours
08/08/2026 22:19:32,2329304,7,Engineering,7,75,2 hours,No,2 days before exams,7 hours,3 hours,less than 1 hour
08/08/2026 22:20:26,2329304,7,Engineering,7,75,2 hours,No,2 days before exams,7 hours,3 hours,less than 1 hour
08/08/2026 22:20:38,2329438,7,Engineering,7.26,70%,less than 1 hour,Yes,1 week before exams,7 hours,4 hours,less than 1 hour
08/08/2026 22:21:21,2329341,7,Engineering,7.5,80,3 hours,Yes,2 weeks before exams,7 hours,3 hours,2 hours
08/08/2026 22:22:06,2446539,6,Engineering,7,75,less than 1 hour,Yes,2 days before exams,6 hours,2 hours,more than 3 hours
08/08/2026 22:22:40,2322217,6,Engineering,7,75,2 hours,No,1 week before exams,more than 7 hours,4 hours,2 hours
08/08/2026 22:32:59,2329423,7,Engineering,7.78,74,less than 1 hour,No,3 weeks before exams,more than 7 hours,more than 4 hours,more than 3 hours
08/08/2026 22:34:52,2329423,7,Engineering,7.78,74,less than 1 hour,No,3 weeks before exams,less than 5 hours,more than 4 hours,more than 3 hours
08/08/2026 22:45:42,2312289,6,Engineering,7.89,75,less than 1 hour,No,2 days before exams,more than 7 hours,2 hours,more than 3 hours
08/08/2026 22:48:52,2329391,7,Engineering,8.43,85,less than 1 hour,Yes,2 weeks before exams,7 hours,3 hours,less than 1 hour
08/08/2026 22:49:46,72311108,7,Engineering,8.5,75,2 hours,Yes,2 days before exams,6 hours,4 hours,2 hours
08/08/2026 22:50:05,2329422,7,Engineering,Nil,Nil,more than 4 hours,No,2 days before exams,more than 7 hours,2 hours,less than 1 hour
08/08/2026 22:56:22,2329434,7,Engineering,7.5,80,less than 1 hour,Yes,2 days before exams,7 hours,3 hours,2 hours
08/08/2026 23:21:02,2329340,7,Engineering,6 .07,79,3 hours,Yes,3 weeks before exams,6 hours,4 hours,2 hours
08/08/2026 23:59:59,2329302,7,Engineering,7,85,2 hours,No,2 days before exams,7 hours,more than 4 hours,2 hours
09/08/2026 08:55:13,2329395,7,Engineering,8.35,73,less than 1 hour,Yes,1 week before exams,7 hours,4 hours,less than 1 hour
09/08/2026 10:16:04,2329408,7,Engineering,No,75,more than 4 hours,No,1 week before exams,less than 5 hours,4 hours,2 hours
09/08/2026 10:29:50,2329322,7,Engineering,8.3,84℅,2 hours,Yes,1 week before exams,7 hours,3 hours,less than 1 hour
09/08/2026 11:47:16,2446518,5,Engineering,6.5,95%,less than 1 hour,No,2 days before exams,less than 5 hours,more than 4 hours,less than 1 hour
09/08/2026 11:51:58,2329276,7,Engineering,7.2,70,less than 1 hour,No,1 week before exams,6 hours,3 hours,2 hours
09/08/2026 12:14:35,2024 bph 0344,5,Pharmacy,6,87,2 hours,Yes,2 days before exams,6 hours,3 hours,2 hours
09/08/2026 12:20:44,2545033,3,Engineering,Not get,76,less than 1 hour,No,2 days before exams,more than 7 hours,2 hours,2 hours
09/08/2026 12:22:35,2312289,6,Engineering,6.5,80,less than 1 hour,No,2 days before exams,7 hours,2 hours,more than 3 hours
09/08/2026 12:25:53,2525509,3,Management,Pending,89,less than 1 hour,No,2 days before exams,6 hours,2 hours,2 hours
10/08/2026 00:27:14,2536395,3,Engineering,Pta nhi,65,less than 1 hour,No,2 days before exams,less than 5 hours,more than 4 hours,less than 1 hour
10/08/2026 17:45:57,2446849,5,Management,6.8,60,less than 1 hour,Yes,2 days before exams,6 hours,more than 4 hours,2 hours
10/08/2026 17:55:36,2024BCM0332,1,Management,7.3,80%,less than 1 hour,Yes,2 days before exams,6 hours,4 hours,less than 1 hour
